adsetname,age,gender,click
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,male,0
Treatment,25-34,unknown,1
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,female,0
Treatment,35-44,male,1
Treatment,35-44,male,0
Treatment,35-44,male,0
Treatment,35-44,male,0
Treatment,35-44,male,0
Treatment,35-44,male,0
Treatment,35-44,male,0
Treatment,35-44,male,0
Treatment,35-44,male,0
Treatment,45-54,female,0
Treatment,45-54,female,0
Treatment,45-54,male,0
Treatment,45-54,male,0
Treatment,45-54,male,0
Treatment,45-54,male,0
Treatment,45-54,male,0
Treatment,45-54,unknown,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,female,0
Treatment,55-64,male,1
Treatment,55-64,male,1
Treatment,55-64,male,1
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,55-64,male,0
Treatment,65+,female,1
Treatment,65+,female,1
Treatment,65+,female,1
Treatment,65+,female,1
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,female,0
Treatment,65+,male,1
Treatment,65+,male,1
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,male,0
Treatment,65+,unknown,0
